Parafia Świętej Trójcy;Rzeszów-Południe;50.0415, 22.0056;7:00, 9:00, 11:00, 18:00;tutaj są msze w niedziele i święta;7:00, 10:30, 18:00;tutaj są msze na tygodniu;07:00 - 08:00*;adoracje;6:00 - 6:30*,7:44-9:33;spowiedzi;06:15;majówki;Dzieci Boże, Anielskie Uśmiechy;Parafia w centrum Rzeszowa, z tradycjami i bogatą historią, oferująca szeroki zakres działalności duszpasterskiej Krzysztofówka 15, 35-600 Rzeszów Adres Strony internetowej: parafia-radosci.pl
Parafia Matki Bożej Częstochowskiej; Rzeszów-Południe;50.0375, 21.4692; 6:30, 8:00, 10:00, 18:30;;8:00, 12:00, 19:00;;12:00 - 13:00;;7:00 - 7:30;;07:10*;Pierwszy piątek miesiąca;Wirujący w Wierze, Radosna Modlitwa; Parafia znana z głębokiej pobożności i organizowania pielgrzymek Lwowska 24, 39-200 Dębica Adres Strony internetowej: swietyczestochowski.pl
Parafia Świętego Michała Archanioła; Rzeszów-Północ;50.2822, 21.4333; 7:30, 9:30, 11:30*, 17:00;Msza o 11.30 jest dla dzieci;6:30, 9:00, 17:00;;21:00 - 22:00*; (tylko w pierwszą niedzielę miesiąca);8:00 - 8:30;;08:05;;Mocni w Duchu, Oaza Spokoju; W parafii znajdują się liczne wspólnoty modlitewne, a kościół jest miejscem spotkań młodzieży Błonia 42, 38-400 Krosno Adres Strony internetowej: modlmysiewszyscy.pl
Parafia św. Józefa Robotnika; Dębica;50.5667, 21.7500; 7:00, 9:00, 18:00;;7:30, 11:00, 16:30;;18:00 - 19:00;;9:00 - 9:30;;09:20;;Kwiaty Boże, Zbawienne Uśmiechy; Parafia w Dębicy, szczególnie znana z działalności charytatywnej i licznych inicjatyw społecznych Podzamcze 11, 36-040 Przemyśl Adres Strony internetowej: boskawydma.pl
Parafia św. Andrzeja Apostoła; Strzyżów;50.5600, 22.0200; 7:00, 10:00, 18:00;;9:15, 13:00, 18:30;;09:00 - 10:00*;(tylko w pierwszy czwartek miesiąca);10:00 - 10:30;;10:30;;Różowe Serce, Błękitna Modlitwa; Kościół o bogatym programie duszpasterskim, szczególnie zaangażowany w życie lokalnej wspólnoty Nowa 7, 37-500 Jarosław Adres Strony internetowej: wparafii-na-wesolo.pl
Parafia Wniebowzięcia Najświętszej Maryi Panny; Mielec;50.1639, 21.7667; 6:30, 9:30, 11:30, 18:00;;7:45, 10:00, 19:30;;14:00 - 15:00 *;(tylko w 20. dzień miesiąca);11:00 - 11:30;;11:45;;Duchowi Wojownicy, Grupa Pomogę Ci; Znana parafia, która organizuje coroczne pielgrzymki do miejsc świętych w Polsce i za granicą Złota 18, 39-300 Mielec Adres Strony internetowej: modlitwy-i-uśmiechy.pl
Parafia św. Jana Pawła II; Tarnobrzeg;49.7850, 21.9528; 8:00*, 10:00, 18:30*;Msza o 18.30 jest trydenkca a o 8.00 młodzieżowa;6:00*, 11:15, 17:30;Pielgrzymi proszą o pokój.;16:00 - 17:00 *;(tylko w piątek);12:00 - 12:30;;12:00*;Tylko sobota;Jasne Światło, Skrzydła Pokoju; W parafii szczególna uwaga poświęcana jest młodzieży, która angażuje się w różne formy aktywności Rzeczyca 3, 38-200 Jasło Adres Strony internetowej: swietanarzek.pl
Parafia św. Michała Archanioła; Jasło;50.0000, 22.6500; 7:30, 10:00, 16:30;;8:30, 12:15, 20:00;;10:00 - 11:00 *;(tylko w 15. dzień miesiąca);13:00 - 13:30;;13:25;;Modlitewne Słoneczka, Pocieszyciele Wiernych; Parafia z dynamiczną wspólnotą modlitewną, angażującą się w działalność edukacyjną i kulturalną św. Jana 26, 39-400 Tarnobrzeg Adres Strony internetowej: chwalimyswiatlo.pl
Parafia Najświęszego Serca Pana Jezusa; Kolbuszowa;49.7833, 22.9833; 6:45, 9:45, 18:00;;7:00, 14:30, 19:45;;08:00 - 09:00 *;(tylko w 10. dzień miesiąca);14:00 - 14:30;;14:15;;Kroczący z Bogiem, Białe Serce; Kościół prowadzący liczne programy wspólnotowe i modlitewne Zielona 9, 36-060 Łańcut Adres Strony internetowej: duchowebabeczki.pl
Parafia św. Anny; Leżajsk;50.1619, 22.1703; 8:00, 10:00*, 18:00;Msza o 10 jest charytatywna;6:45, 10:15, 17:00;;13:00 - 14:00;;15:00 - 15:30;;15:40;;Zjednoczeni w Wierze, Nadzieja na Co Dzień; Parafia z silną tradycją kultu świętej Anny i organizacją różnych wydarzeń duszpasterskich Mickiewicza 34, 38-100 Strzyżów Adres Strony internetowej: poczujparafie.pl
