Parafia Œwiêtej Trójcy; Rzeszów-Po³udnie;50.0415, 22.0056; 7:00, 9:00, 11:00, 18:00;;07:00 – 08:00;(tylko w œrodê);06:15;;Dzieci Bo¿e, Anielskie Uœmiechy; Parafia w centrum Rzeszowa, z tradycjami i bogat¹ histori¹, oferuj¹ca szeroki zakres dzia³alnoœci duszpasterskiej Krzysztofówka 15, 35-600 Rzeszów Adres Strony internetowej: parafia-radosci.pl
Parafia Matki Bo¿ej Czêstochowskiej; Rzeszów-Po³udnie;50.0375, 21.4692; 6:30, 8:00, 10:00, 18:30;;12:00 – 13:00;;07:10;Pierwszy pi¹tek miesi¹ca;Wêdruj¹cy w Wierze, Radosna Modlitwa; Parafia znana z g³êbokiej pobo¿noœci i organizowania pielgrzymek Lwowska 24, 39-200 Dêbica Adres Strony internetowej: swietyczestochowski.pl
Parafia Œwiêtego Micha³a Archanio³a; Rzeszów-Pó³noc;50.2822, 21.4333; 7:30, 9:30, 11:30*, 17:00;Msza o 11.30 jest dla dzieci;21:00 – 22:00; (tylko w pierwsz¹ niedzielê miesi¹ca);08:05;;Mocni w Duchu, Oaza Spokoju; W parafii znajduj¹ siê liczne wspólnoty modlitewne, a koœció³ jest miejscem spotkañ m³odzie¿y B³onia 42, 38-400 Krosno Adres Strony internetowej: modlmysiewszyscy.pl
Parafia œw. Józefa Robotnika; Dêbica;50.5667, 21.7500; 7:00, 9:00, 18:00;;18:00 – 19:00;;09:20;;Kwiaty Bo¿e, Zbawienne Uœmiechy; Parafia w Dêbicy, szczególnie znana z dzia³alnoœci charytatywnej i licznych inicjatyw spo³ecznych Podzamcze 11, 36-040 Przemyœl Adres Strony internetowej: boskawydma.pl
Parafia œw. Andrzeja Aposto³a; Strzy¿ów;50.5600, 22.0200; 7:00, 10:00, 18:00;;09:00 – 10:00;(tylko w pierwszy czwartek miesi¹ca);10:30;;Ró¿owe Serce, B³êkitna Modlitwa; Koœció³ o bogatym programie duszpasterskim, szczególnie zaanga¿owany w ¿ycie lokalnej wspólnoty Nowa 7, 37-500 Jaros³aw Adres Strony internetowej: wparafii-na-wesolo.pl
Parafia Wniebowziêcia Najœwiêtszej Maryi Panny; Mielec;50.1639, 21.7667; 6:30, 9:30, 11:30, 18:00;;14:00 – 15:00 ;(tylko w 20. dzieñ miesi¹ca);11:45;;Duchowi Wojownicy, Grupa „Pomogê Ci”; Znana parafia, która organizuje coroczne pielgrzymki do miejsc œwiêtych w Polsce i za granic¹ Z³ota 18, 39-300 Mielec Adres Strony internetowej: modlitwy-i-uœmiechy.pl
Parafia œw. Jana Paw³a II; Tarnobrzeg;49.7850, 21.9528; 8:00*, 10:00, 18:30*;Msza o 18.30 jest trydenkca a o 8.00 m³odzie¿owa;16:00 – 17:00 ;(tylko w pi¹tek);12:00;Tylko sobota;Jasne Œwiat³o, Skrzyd³a Pokoju; W parafii szczególna uwaga poœwiêcana jest m³odzie¿y, która anga¿uje siê w ró¿ne formy aktywnoœci Rzeczyca 3, 38-200 Jas³o Adres Strony internetowej: swietanarzek.pl
Parafia œw. Micha³a Archanio³a; Jas³o;50.0000, 22.6500; 7:30, 10:00, 16:30;;10:00 – 11:00 ;(tylko w 15. dzieñ miesi¹ca);13:25;;Modlitewne S³oneczka, Pocieszyciele Wiernych; Parafia z dynamiczn¹ wspólnot¹ modlitewn¹, anga¿uj¹c¹ siê w dzia³alnoœæ edukacyjn¹ i kulturaln¹ Œw. Jana 26, 39-400 Tarnobrzeg Adres Strony internetowej: chwalimyswiatlo.pl
Parafia Najœwiêtszego Serca Pana Jezusa; Kolbuszowa;49.7833, 22.9833; 6:45, 9:45, 18:00;;08:00 – 09:00 ;(tylko w 10. dzieñ miesi¹ca);14:15;;Krocz¹cy z Bogiem, Bia³e Serce; Koœció³ prowadz¹cy liczne programy wspólnotowe i modlitewne Zielona 9, 36-060 £añcut Adres Strony internetowej: duchowebabeczki.pl
Parafia œw. Anny; Le¿ajsk;50.1619, 22.1703; 8:00, 10:00*, 18:00;Msza o 10 jest charytatywna;13:00 – 14:00;;15:40;;Zjednoczeni w Wierze, Nadzieja na Co Dzieñ; Parafia z siln¹ tradycj¹ kultu œwiêtej Anny i organizacj¹ ró¿nych wydarzeñ duszpasterskich Mickiewicza 34, 38-100 Strzy¿ów Adres Strony internetowej: poczujparafie.pl
Parafia Œwiêtego Krzy¿a; Przemyœl;49.6917, 21.7667; 7:00, 10:00, 17:00;;06:00 – 07:00;;16:10;;Pogodna Wspólnota, Wielka Si³a Modlitwy; Parafia o bogatej historii i tradycjach zwi¹zanych z Krzy¿em Œwiêtym, anga¿uj¹ca parafian w ró¿norodne formy modlitwy Pocztowa 12, 39-100 Ropczyce Adres Strony internetowej: za-duzo-grzechow.pl
Parafia Œwiêtej Rodziny; Nowa Dêba;49.7500, 21.4667; 7:00, 9:00, 18:00;;19:00 – 20:00 ;(tylko w 2. wtorek miesi¹ca);17:30;W poniedzia³ek z dziwnym ksiêdzem;Skrzydlate Modlitwy, Serce Pe³ne Mi³oœci; Parafia rodzinna, oferuj¹ca wsparcie dla rodzin i dzieci, prowadz¹ca wiele inicjatyw wspólnotowych Mieszka I 8, 37-400 Nisko Adres Strony internetowej: swieta-chwilka.pl
Parafia Zes³ania Ducha Œwiêtego; Rzeszów;50.3369, 21.6828; 7:30, 9:00, 11:30, 18:30;;20:00 – 21:00 ;(tylko w 3. czwartek miesi¹ca);18:05;;Wierni w Codziennoœci, Si³a Pokoju; Parafia znana z organizowania wielkich wydarzeñ modlitewnych i duszpasterskich Wierzbowa 27, 39-500 Gorzyce Adres Strony internetowej: pan-pomaga.pl
Parafia œw. Wojciecha; Sanok;49.5500, 22.2000; 6:30, 9:30, 18:00;;22:00 – 23:00;;19:15;;Otwórz Serce, Duch Œwiêty w Dzia³aniu; Parafia z d³ug¹ tradycj¹, szczególnie anga¿uj¹ca siê w rozwój m³odzie¿y i wspólnoty S³owackiego 5, 38-300 Sanok Adres Strony internetowej: parafialnysupport.pl
Parafia œw. Micha³a Archanio³a; Rzeszów-Wschód;49.4200, 22.7250; 7:00, 9:00, 17:00;;23:00 – 24:00;;20:25;Rozdajemy ró¿añce;Bo¿a £aska, Wieczorne Œwiat³o; Koœció³ z siln¹ dzia³alnoœci¹ duszpastersk¹, oferuj¹cy ró¿ne formy modlitwy Krakowska 21, 39-600 Stalowa Wola Adres Strony internetowej: boskawartosc.pl
Parafia œw. Stanis³awa Biskupa; Kroœcienko;49.5000, 21.7500; 7:30, 9:30, 18:00;;09:00 – 10:00;;06:40;;Apostolowie Radoœci, Têcza Modlitwy; Parafia znana z organizowania pielgrzymek i wielu dzia³añ edukacyjnych Sikorskiego 31, 37-300 Przeworsk Adres Strony internetowej: czasnarefleksje.pl
